loc_rowid,toi,tid,tfopwg_disp
355,1296.01,219854185,CP
356,1297.01,229536616,FP
357,1298.01,237104103,CP
358,1299.01,258777134,FP
359,130.01,263003176,CP
360,1300.01,293687315,KP
361,1301.01,356867115,CP
362,1301.02,356867115,PC
363,1302.01,441797803,PC
364,1303.01,185405474,FP
365,1304.01,186000935,FP
366,1305.01,232679662,FP
367,1306.01,233735068,FP
368,1307.01,236815160,APC
369,1308.01,277014266,FP
370,1309.01,287190564,FP
371,131.01,235037761,APC
372,1310.01,294179389,FP
373,1311.01,378159598,APC
374,1312.01,405904232,FP
375,1313.01,11111899,FP
376,1314.01,136848581,FP
377,1315.01,137284119,FP
378,1316.01,15565627,FP
379,1317.01,165523947,FP
380,1318.01,167092385,PC
381,1319.01,167098530,FP
382,132.01,89020549,CP
383,1320.01,167403519,PC
384,1321.01,195199644,FP
385,1322.01,240450679,APC
386,1323.01,256886630,FP
387,1324.01,266688542,FP
388,1325.01,274942910,FP
389,1326.01,275111900,FP
390,1327.01,312083267,APC
391,1328.01,330332501,FP
392,1329.01,345996087,FP
393,133.01,219338557,PC
394,1330.01,357457104,FP
395,1331.01,387664866,FP
396,1332.01,387664868,FP
397,1333.01,395171208,CP
398,1334.01,42123111,FP
399,1335.01,89759617,FP
400,1336.01,92783821,FP
401,1337.01,160708862,KP
402,1338.01,260128333,CP
403,1339.01,269701147,CP
404,1339.02,269701147,CP
405,1339.03,269701147,CP
406,134.01,234994474,CP
407,1340.01,233681149,FP
408,1341.01,233390838,FP
409,1342.01,256621916,FP
410,1343.01,358631536,FP
411,1344.01,1400770435,FP
412,1345.01,160487753,PC
413,1346.01,219852882,CP
414,1346.02,219852882,CP
415,1347.01,229747848,CP
416,1347.02,229747848,CP
417,1348.01,229770036,FP
418,1349.01,272635712,APC
419,135.01,267263253,CP
420,1350.01,233953967,PC
421,1351.01,1718201850,APC
422,1352.01,336740528,APC
423,1353.01,279177746,FP
424,1354.01,365683032,FP
425,1355.01,372264750,PC
426,1356.01,277566483,PC
427,1357.01,357972447,FP
428,1358.01,275501623,FP
429,1359.01,416624606,FP
430,136.01,410153553,CP
431,1360.01,330468175,FP
432,1361.01,277447970,PC
433,1362.01,395142888,PC
434,1363.01,230017325,FP
435,1364.01,26880783,PC
436,1365.01,367099243,FP
437,1366.01,120602501,FP
438,1367.01,129539786,FP
439,1368.01,136971594,FP
440,1369.01,155005217,FP
441,137.01,176957796,FA
442,1370.01,155114483,FP
443,1371.01,162130054,APC
444,1372.01,164150539,FP
445,1373.01,176899385,KP
446,1374.01,190430205,FP
447,1375.01,190442486,FP
448,1376.01,190743990,FP
449,1377.01,240613164,FP
450,1378.01,249812036,FP
451,1379.01,252490659,APC
452,138.01,277683130,APC
453,1380.01,274170255,FP
454,1381.01,275722992,PC
455,1382.01,276360911,FA
456,1383.01,313506357,FP
457,1384.01,328167090,FP
458,1385.01,329864959,FP
459,1386.01,343019899,CP
460,1387.01,343442463,FP
461,1388.01,346338552,KP
462,1389.01,353038705,PC
463,139.01,62483237,CP
464,1390.01,365389353,FP
465,1391.01,389182138,FP
466,1392.01,416987878,FP
467,1393.01,430528566,FP
468,1394.01,431156009,FP
469,1395.01,468472950,FP
470,1396.01,468845640,FP
471,1397.01,64553698,FP
472,1398.01,66445643,APC
473,1399.01,66783360,FP
474,140.01,140068425,APC
475,1400.01,258801269,FP
476,1401.01,259126549,FP
477,1402.01,259129875,FP
478,1403.01,328750515,FP
479,1404.01,352239069,PC
480,1404.02,352239069,PC
481,1405.01,387834907,FP
482,1406.01,231736113,CP
483,1407.01,69747919,KP
484,1408.01,364186197,CP
485,1408.02,364186197,KP
486,1409.01,115771549,APC
487,141.01,403224672,CP
488,1410.01,199444169,CP
489,1411.01,116483514,CP
490,1412.01,116483734,APC
491,1413.01,119700084,PC
492,1414.01,125442121,APC
493,1415.01,148782377,PC
